industry_sector,consumption_unit,energy_consumed,emissions_co2eq,fuel_description,fuel_type,financial_year_start_date
Non-Metallic Minerals,K.litres,6.984375318e-07,2.109794378,Kerosene,petroleum fuels,2011-01-01 00:00:00+05:30
Transport Equipment,Tonne,1.337537014e-06,4.546415806,"Other coal tar oil pitch products, n.e.c.",Coal and Lignite,2012-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Tonne,0.003844719962,15578.10449,Coal consumed,Coal and Lignite,2015-01-01 00:00:00+05:30
Iron and Steel,K.litres,1.824127503e-05,56.78224182,Diesel,petroleum fuels,2011-01-01 00:00:00+05:30
"Pulp, Paper and Print",kwh,0.01035419392,122827.6875,Electricity purchased,Forms of energy,2006-01-01 00:00:00+05:30
Transport Equipment,tonne,6.975667202e-05,285.4830322,Petroleum coke calcined,petroleum fuels,2006-01-01 00:00:00+05:30
Textile and Leather,k. litres,0.0007684432785,2392.044189,Diesel,petroleum fuels,2009-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.01706639247,69149.90625,Coal consumed,Coal and Lignite,2014-01-01 00:00:00+05:30
Non-Ferrous Metals,tonne,0.0002958645055,1210.841797,Petroleum coke,petroleum fuels,2009-01-01 00:00:00+05:30
Textile and Leather,tonne,0.0002405417763,782.0033569,Furnace oil,petroleum fuels,2007-01-01 00:00:00+05:30
Transport Equipment,tonne,1.680904234e-06,5.464633942,Furnace oil,petroleum fuels,2005-01-01 00:00:00+05:30
Textile and Leather,Tonne,0.0003209904644,1300.594849,Coal consumed,Coal and Lignite,2011-01-01 00:00:00+05:30
Iron and Steel,tonne,0.01583747566,64815.74219,Petroleum coke,petroleum fuels,2008-01-01 00:00:00+05:30
Transport Equipment,tonne,4.152348629e-05,134.9931946,Furnace oil,petroleum fuels,2006-01-01 00:00:00+05:30
Chemicals & fertilisers,Litre,0.003160848282,10275.94434,Furnace oil,petroleum fuels,2017-01-01 00:00:00+05:30
Transport Equipment,Kwatt,0.05002815254,570191.0,Electricity purchased,Forms of energy,2014-01-01 00:00:00+05:30
Iron and Steel,Kwatt,0.0744525884,848566.125,Electricity purchased,Forms of energy,2015-01-01 00:00:00+05:30
